,被试数量,样本序号,实验序号,实验处理,误差,p值
0,9,12,Exp2,"(180, 267.22222222222223)",prediction_error,4.702091401512709e-16
0,9,12,Exp2,"(180, 534.4444444444445)",prediction_error,3.016514978674068e-13
0,9,12,Exp2,"(225, 267.22222222222223)",prediction_error,6.921191307243917e-09
0,9,12,Exp2,"(225, 534.4444444444445)",prediction_error,1.023605939293057e-08
0,9,12,Exp2,"(270, 267.22222222222223)",prediction_error,5.072266090039249e-09
0,9,12,Exp2,"(270, 534.4444444444445)",prediction_error,2.40072372525776e-07
0,9,12,Exp2,"(315, 267.22222222222223)",prediction_error,1.947492505331613e-11
0,9,12,Exp2,"(315, 534.4444444444445)",prediction_error,1.2198372881834612e-08
0,9,12,Exp3,"(1, -1)",predictError,5.862180585808048e-56
0,9,12,Exp3,"(1, 1)",predictError,3.1873168234541966e-61
0,9,12,Exp3,"(2, -1)",predictError,2.9020853494958392e-52
0,9,12,Exp3,"(2, 1)",predictError,5.290102454939747e-63
0,9,12,Exp3,"(3, -1)",predictError,2.0907948688424377e-35
0,9,12,Exp3,"(3, 1)",predictError,1.1976600480473955e-36
0,9,13,Exp1,D2U,None,0.765991824244793
0,9,13,Exp1,L2R,None,0.3712980344710104
0,9,13,Exp1,R2L,None,0.5514843298025198
0,9,13,Exp1,U2D,None,0.1351564508456704
0,9,13,Exp2,"(0, 267.22222222222223)",prediction_error,2.355286180784719e-15
0,9,13,Exp2,"(0, 534.4444444444445)",prediction_error,2.0532966641073695e-10
0,9,13,Exp2,"(45, 267.22222222222223)",prediction_error,6.098238877095708e-08
0,9,13,Exp2,"(45, 534.4444444444445)",prediction_error,4.7686776574708606e-09
0,9,13,Exp2,"(90, 267.22222222222223)",prediction_error,6.810591825799207e-15
0,9,13,Exp2,"(90, 534.4444444444445)",prediction_error,1.5425831309865982e-05
0,9,13,Exp2,"(135, 267.22222222222223)",prediction_error,1.5938153925206888e-10
0,9,13,Exp2,"(135, 534.4444444444445)",prediction_error,3.0357058457745284e-08
0,9,13,Exp2,"(180, 267.22222222222223)",prediction_error,1.9011551234059737e-13
0,9,13,Exp2,"(180, 534.4444444444445)",prediction_error,6.460336071568872e-07
0,9,13,Exp2,"(225, 267.22222222222223)",prediction_error,8.43264391440092e-08
0,9,13,Exp2,"(225, 534.4444444444445)",prediction_error,5.892832657941313e-09
0,9,13,Exp2,"(270, 267.22222222222223)",prediction_error,1.5289019518492354e-08
0,9,13,Exp2,"(270, 534.4444444444445)",prediction_error,1.1311783231844723e-07
0,9,13,Exp2,"(315, 267.22222222222223)",prediction_error,8.732683096854083e-11
0,9,13,Exp2,"(315, 534.4444444444445)",prediction_error,2.0338576602413823e-07
0,9,13,Exp2,"(0, 267.22222222222223)",prediction_error,2.355286180784719e-15
0,9,13,Exp2,"(0, 534.4444444444445)",prediction_error,2.0532966641073695e-10
0,9,13,Exp2,"(45, 267.22222222222223)",prediction_error,6.098238877095708e-08
0,9,13,Exp2,"(45, 534.4444444444445)",prediction_error,4.7686776574708606e-09
0,9,13,Exp2,"(90, 267.22222222222223)",prediction_error,6.810591825799207e-15
0,9,13,Exp2,"(90, 534.4444444444445)",prediction_error,1.5425831309865982e-05
0,9,13,Exp2,"(135, 267.22222222222223)",prediction_error,1.5938153925206888e-10
0,9,13,Exp2,"(135, 534.4444444444445)",prediction_error,3.0357058457745284e-08
0,9,13,Exp2,"(180, 267.22222222222223)",prediction_error,1.9011551234059737e-13
0,9,13,Exp2,"(180, 534.4444444444445)",prediction_error,6.460336071568872e-07
0,9,13,Exp2,"(225, 267.22222222222223)",prediction_error,8.43264391440092e-08
0,9,13,Exp2,"(225, 534.4444444444445)",prediction_error,5.892832657941313e-09
0,9,13,Exp2,"(270, 267.22222222222223)",prediction_error,1.5289019518492354e-08
0,9,13,Exp2,"(270, 534.4444444444445)",prediction_error,1.1311783231844723e-07
0,9,13,Exp2,"(315, 267.22222222222223)",prediction_error,8.732683096854083e-11
0,9,13,Exp2,"(315, 534.4444444444445)",prediction_error,2.0338576602413823e-07
0,9,13,Exp3,"(1, -1)",predictError,4.0529321527943836e-58
0,9,13,Exp3,"(1, 1)",predictError,4.751848447737701e-61
0,9,13,Exp3,"(2, -1)",predictError,9.339078451034644e-52
0,9,13,Exp3,"(2, 1)",predictError,9.299145939137394e-62
0,9,13,Exp3,"(3, -1)",predictError,2.5546457175546878e-39
0,9,13,Exp3,"(3, 1)",predictError,6.114083959750937e-41
0,9,14,Exp1,D2U,None,0.765991824244793
0,9,14,Exp1,L2R,None,0.5514843298025198
0,9,14,Exp1,R2L,None,0.5514843298025198
0,9,14,Exp1,U2D,None,0.07245426016254441
0,9,14,Exp2,"(0, 267.22222222222223)",prediction_error,2.355286180784719e-15
0,9,14,Exp2,"(0, 534.4444444444445)",prediction_error,2.0532966641073695e-10
0,9,14,Exp2,"(45, 267.22222222222223)",prediction_error,6.098238877095708e-08
0,9,14,Exp2,"(45, 534.4444444444445)",prediction_error,4.7686776574708606e-09
0,9,14,Exp2,"(90, 267.22222222222223)",prediction_error,6.810591825799207e-15
0,9,14,Exp2,"(90, 534.4444444444445)",prediction_error,1.5425831309865982e-05
0,9,14,Exp2,"(135, 267.22222222222223)",prediction_error,1.5938153925206888e-10
0,9,14,Exp2,"(135, 534.4444444444445)",prediction_error,3.0357058457745284e-08
0,9,14,Exp2,"(180, 267.22222222222223)",prediction_error,1.9011551234059737e-13
0,9,14,Exp2,"(180, 534.4444444444445)",prediction_error,6.460336071568872e-07
0,9,14,Exp2,"(225, 267.22222222222223)",prediction_error,8.43264391440092e-08
0,9,14,Exp2,"(225, 534.4444444444445)",prediction_error,5.892832657941313e-09
0,9,14,Exp2,"(270, 267.22222222222223)",prediction_error,1.5289019518492354e-08
0,9,14,Exp2,"(270, 534.4444444444445)",prediction_error,1.1311783231844723e-07
0,9,14,Exp2,"(315, 267.22222222222223)",prediction_error,8.732683096854083e-11
0,9,14,Exp2,"(315, 534.4444444444445)",prediction_error,2.0338576602413823e-07
0,9,14,Exp2,"(0, 267.22222222222223)",prediction_error,2.355286180784719e-15
0,9,14,Exp2,"(0, 534.4444444444445)",prediction_error,2.0532966641073695e-10
0,9,14,Exp2,"(45, 267.22222222222223)",prediction_error,6.098238877095708e-08
0,9,14,Exp2,"(45, 534.4444444444445)",prediction_error,4.7686776574708606e-09
0,9,14,Exp2,"(90, 267.22222222222223)",prediction_error,6.810591825799207e-15
0,9,14,Exp2,"(90, 534.4444444444445)",prediction_error,1.5425831309865982e-05
0,9,14,Exp2,"(135, 267.22222222222223)",prediction_error,1.5938153925206888e-10
0,9,14,Exp2,"(135, 534.4444444444445)",prediction_error,3.0357058457745284e-08
0,9,14,Exp2,"(180, 267.22222222222223)",prediction_error,1.9011551234059737e-13
0,9,14,Exp2,"(180, 534.4444444444445)",prediction_error,6.460336071568872e-07
0,9,14,Exp2,"(225, 267.22222222222223)",prediction_error,8.43264391440092e-08
0,9,14,Exp2,"(225, 534.4444444444445)",prediction_error,5.892832657941313e-09
0,9,14,Exp2,"(270, 267.22222222222223)",prediction_error,1.5289019518492354e-08
0,9,14,Exp2,"(270, 534.4444444444445)",prediction_error,1.1311783231844723e-07
0,9,14,Exp2,"(315, 267.22222222222223)",prediction_error,8.732683096854083e-11
0,9,14,Exp2,"(315, 534.4444444444445)",prediction_error,2.0338576602413823e-07
0,9,14,Exp3,"(1, -1)",predictError,2.2513194797805704e-59
0,9,14,Exp3,"(1, 1)",predictError,9.159445441195604e-59
0,9,14,Exp3,"(2, -1)",predictError,3.529597566842039e-52
0,9,14,Exp3,"(2, 1)",predictError,1.848190444075966e-61
0,9,14,Exp3,"(3, -1)",predictError,2.1694861566676243e-34
0,9,14,Exp3,"(3, 1)",predictError,2.0486713365994924e-37
0,9,15,Exp1,D2U,None,0.3712980344710104
0,9,15,Exp1,L2R,None,0.5514843298025198
0,9,15,Exp1,R2L,None,0.3712980344710104
0,9,15,Exp1,U2D,None,0.07245426016254441
0,9,15,Exp2,"(0, 267.22222222222223)",prediction_error,1.4136775028423548e-15
0,9,15,Exp2,"(0, 534.4444444444445)",prediction_error,1.309626347168607e-10
0,9,15,Exp2,"(45, 267.22222222222223)",prediction_error,6.333245300615128e-08
0,9,15,Exp2,"(45, 534.4444444444445)",prediction_error,2.808916217543162e-09
0,9,15,Exp2,"(90, 267.22222222222223)",prediction_error,6.731999891858783e-15
0,9,15,Exp2,"(90, 534.4444444444445)",prediction_error,9.220305140780244e-06
0,9,15,Exp2,"(135, 267.22222222222223)",prediction_error,1.4585581214763208e-10
0,9,15,Exp2,"(135, 534.4444444444445)",prediction_error,1.0466355292733226e-09
0,9,15,Exp2,"(180, 267.22222222222223)",prediction_error,1.3067025599885048e-13
0,9,15,Exp2,"(180, 534.4444444444445)",prediction_error,5.157908802137247e-07
0,9,15,Exp2,"(225, 267.22222222222223)",prediction_error,9.650702773319005e-08
0,9,15,Exp2,"(225, 534.4444444444445)",prediction_error,3.1864150803486164e-08
0,9,15,Exp2,"(270, 267.22222222222223)",prediction_error,1.3979180576391564e-08
0,9,15,Exp2,"(270, 534.4444444444445)",prediction_error,1.00127550922001e-07
0,9,15,Exp2,"(315, 267.22222222222223)",prediction_error,9.708324558599024e-11
0,9,15,Exp2,"(315, 534.4444444444445)",prediction_error,6.71409107910494e-08
0,9,15,Exp2,"(0, 267.22222222222223)",prediction_error,1.4136775028423548e-15
0,9,15,Exp2,"(0, 534.4444444444445)",prediction_error,1.309626347168607e-10
0,9,15,Exp2,"(45, 267.22222222222223)",prediction_error,6.333245300615128e-08
0,9,15,Exp2,"(45, 534.4444444444445)",prediction_error,2.808916217543162e-09
0,9,15,Exp2,"(90, 267.22222222222223)",prediction_error,6.731999891858783e-15
0,9,15,Exp2,"(90, 534.4444444444445)",prediction_error,9.220305140780244e-06
0,9,15,Exp2,"(135, 267.22222222222223)",prediction_error,1.4585581214763208e-10
0,9,15,Exp2,"(135, 534.4444444444445)",prediction_error,1.0466355292733226e-09
0,9,15,Exp2,"(180, 267.22222222222223)",prediction_error,1.3067025599885048e-13
0,9,15,Exp2,"(180, 534.4444444444445)",prediction_error,5.157908802137247e-07
0,9,15,Exp2,"(225, 267.22222222222223)",prediction_error,9.650702773319005e-08
0,9,15,Exp2,"(225, 534.4444444444445)",prediction_error,3.1864150803486164e-08
0,9,15,Exp2,"(270, 267.22222222222223)",prediction_error,1.3979180576391564e-08
0,9,15,Exp2,"(270, 534.4444444444445)",prediction_error,1.00127550922001e-07
0,9,15,Exp2,"(315, 267.22222222222223)",prediction_error,9.708324558599024e-11
0,9,15,Exp2,"(315, 534.4444444444445)",prediction_error,6.71409107910494e-08
0,9,15,Exp3,"(1, -1)",predictError,6.185350237770052e-57
0,9,15,Exp3,"(1, 1)",predictError,5.962729610404107e-57
0,9,15,Exp3,"(2, -1)",predictError,7.999500358464713e-52
0,9,15,Exp3,"(2, 1)",predictError,7.352557199699666e-61
0,9,15,Exp3,"(3, -1)",predictError,3.8095694332750903e-41
0,9,15,Exp3,"(3, 1)",predictError,6.194347114338979e-36
0,9,16,Exp1,D2U,None,0.765991824244793
0,9,16,Exp1,L2R,None,0.3712980344710104
0,9,16,Exp1,R2L,None,0.5514843298025198
0,9,16,Exp1,U2D,None,0.1351564508456704
0,9,16,Exp2,"(0, 267.22222222222223)",prediction_error,1.4136775028423548e-15
0,9,16,Exp2,"(0, 534.4444444444445)",prediction_error,1.309626347168607e-10
0,9,16,Exp2,"(45, 267.22222222222223)",prediction_error,6.333245300615128e-08
0,9,16,Exp2,"(45, 534.4444444444445)",prediction_error,2.808916217543162e-09
0,9,16,Exp2,"(90, 267.22222222222223)",prediction_error,6.731999891858783e-15
0,9,16,Exp2,"(90, 534.4444444444445)",prediction_error,9.220305140780244e-06
0,9,16,Exp2,"(135, 267.22222222222223)",prediction_error,1.4585581214763208e-10
0,9,16,Exp2,"(135, 534.4444444444445)",prediction_error,1.0466355292733226e-09
0,9,16,Exp2,"(180, 267.22222222222223)",prediction_error,1.3067025599885048e-13
0,9,16,Exp2,"(180, 534.4444444444445)",prediction_error,5.157908802137247e-07
0,9,16,Exp2,"(225, 267.22222222222223)",prediction_error,9.650702773319005e-08
0,9,16,Exp2,"(225, 534.4444444444445)",prediction_error,3.1864150803486164e-08
0,9,16,Exp2,"(270, 267.22222222222223)",prediction_error,1.3979180576391564e-08
0,9,16,Exp2,"(270, 534.4444444444445)",prediction_error,1.00127550922001e-07
0,9,16,Exp2,"(315, 267.22222222222223)",prediction_error,9.708324558599024e-11
0,9,16,Exp2,"(315, 534.4444444444445)",prediction_error,6.71409107910494e-08
0,9,16,Exp2,"(0, 267.22222222222223)",prediction_error,1.4136775028423548e-15
0,9,16,Exp2,"(0, 534.4444444444445)",prediction_error,1.309626347168607e-10
0,9,16,Exp2,"(45, 267.22222222222223)",prediction_error,6.333245300615128e-08
0,9,16,Exp2,"(45, 534.4444444444445)",prediction_error,2.808916217543162e-09
0,9,16,Exp2,"(90, 267.22222222222223)",prediction_error,6.731999891858783e-15
0,9,16,Exp2,"(90, 534.4444444444445)",prediction_error,9.220305140780244e-06
0,9,16,Exp2,"(135, 267.22222222222223)",prediction_error,1.4585581214763208e-10
0,9,16,Exp2,"(135, 534.4444444444445)",prediction_error,1.0466355292733226e-09
0,9,16,Exp2,"(180, 267.22222222222223)",prediction_error,1.3067025599885048e-13
0,9,16,Exp2,"(180, 534.4444444444445)",prediction_error,5.157908802137247e-07
0,9,16,Exp2,"(225, 267.22222222222223)",prediction_error,9.650702773319005e-08
0,9,16,Exp2,"(225, 534.4444444444445)",prediction_error,3.1864150803486164e-08
0,9,16,Exp2,"(270, 267.22222222222223)",prediction_error,1.3979180576391564e-08
0,9,16,Exp2,"(270, 534.4444444444445)",prediction_error,1.00127550922001e-07
0,9,16,Exp2,"(315, 267.22222222222223)",prediction_error,9.708324558599024e-11
0,9,16,Exp2,"(315, 534.4444444444445)",prediction_error,6.71409107910494e-08
0,9,16,Exp3,"(1, -1)",predictError,2.0966727288501713e-56
0,9,16,Exp3,"(1, 1)",predictError,5.731548253070472e-56
0,9,16,Exp3,"(2, -1)",predictError,4.0418068165603534e-50
0,9,16,Exp3,"(2, 1)",predictError,1.7426706918068526e-62
0,9,16,Exp3,"(3, -1)",predictError,5.777546409140593e-35
0,9,16,Exp3,"(3, 1)",predictError,1.1000355784485911e-38
0,9,17,Exp1,D2U,None,1.0
0,9,17,Exp1,L2R,None,0.07245426016254441
0,9,17,Exp1,R2L,None,0.3712980344710104
0,9,17,Exp1,U2D,None,0.002458900322096724
0,9,17,Exp2,"(0, 267.22222222222223)",prediction_error,1.7922602540521923e-15
0,9,17,Exp2,"(0, 534.4444444444445)",prediction_error,1.3229504151693892e-10
0,9,17,Exp2,"(45, 267.22222222222223)",prediction_error,2.7578882903265468e-11
0,9,17,Exp2,"(45, 534.4444444444445)",prediction_error,1.388697739576454e-09
0,9,17,Exp2,"(90, 267.22222222222223)",prediction_error,2.374550904505298e-17
0,9,17,Exp2,"(90, 534.4444444444445)",prediction_error,1.2844479627490055e-05
0,9,17,Exp2,"(135, 267.22222222222223)",prediction_error,4.823092100556041e-12
0,9,17,Exp2,"(135, 534.4444444444445)",prediction_error,7.12417381458387e-09
0,9,17,Exp2,"(180, 267.22222222222223)",prediction_error,2.1151749667610091e-13
0,9,17,Exp2,"(180, 534.4444444444445)",prediction_error,3.5030683297633063e-07
0,9,17,Exp2,"(225, 267.22222222222223)",prediction_error,8.336797403200537e-08
0,9,17,Exp2,"(225, 534.4444444444445)",prediction_error,5.164044647909941e-09
0,9,17,Exp2,"(270, 267.22222222222223)",prediction_error,1.499254683712137e-08
0,9,17,Exp2,"(270, 534.4444444444445)",prediction_error,1.4199396068230527e-07
0,9,17,Exp2,"(315, 267.22222222222223)",prediction_error,9.007251393936494e-12
0,9,17,Exp2,"(315, 534.4444444444445)",prediction_error,1.2871032633979715e-08
0,9,17,Exp2,"(0, 267.22222222222223)",prediction_error,1.7922602540521923e-15
0,9,17,Exp2,"(0, 534.4444444444445)",prediction_error,1.3229504151693892e-10
0,9,17,Exp2,"(45, 267.22222222222223)",prediction_error,2.7578882903265468e-11
0,9,17,Exp2,"(45, 534.4444444444445)",prediction_error,1.388697739576454e-09
0,9,17,Exp2,"(90, 267.22222222222223)",prediction_error,2.374550904505298e-17
0,9,17,Exp2,"(90, 534.4444444444445)",prediction_error,1.2844479627490055e-05
0,9,17,Exp2,"(135, 267.22222222222223)",prediction_error,4.823092100556041e-12
0,9,17,Exp2,"(135, 534.4444444444445)",prediction_error,7.12417381458387e-09
0,9,17,Exp2,"(180, 267.22222222222223)",prediction_error,2.1151749667610091e-13
0,9,17,Exp2,"(180, 534.4444444444445)",prediction_error,3.5030683297633063e-07
0,9,17,Exp2,"(225, 267.22222222222223)",prediction_error,8.336797403200537e-08
0,9,17,Exp2,"(225, 534.4444444444445)",prediction_error,5.164044647909941e-09
0,9,17,Exp2,"(270, 267.22222222222223)",prediction_error,1.499254683712137e-08
0,9,17,Exp2,"(270, 534.4444444444445)",prediction_error,1.4199396068230527e-07
0,9,17,Exp2,"(315, 267.22222222222223)",prediction_error,9.007251393936494e-12
0,9,17,Exp2,"(315, 534.4444444444445)",prediction_error,1.2871032633979715e-08
0,9,17,Exp3,"(1, -1)",predictError,2.2513194797805704e-59
0,9,17,Exp3,"(1, 1)",predictError,9.159445441195604e-59
0,9,17,Exp3,"(2, -1)",predictError,3.529597566842039e-52
0,9,17,Exp3,"(2, 1)",predictError,1.848190444075966e-61
0,9,17,Exp3,"(3, -1)",predictError,2.1694861566676243e-34
0,9,17,Exp3,"(3, 1)",predictError,2.0486713365994924e-37
0,9,18,Exp1,D2U,None,0.765991824244793
0,9,18,Exp1,L2R,None,0.5514843298025198
0,9,18,Exp1,R2L,None,0.5514843298025198
0,9,18,Exp1,U2D,None,0.07245426016254441
0,9,18,Exp2,"(0, 267.22222222222223)",prediction_error,1.11671607049402e-16
0,9,18,Exp2,"(0, 534.4444444444445)",prediction_error,3.9602409276790816e-10
0,9,18,Exp2,"(45, 267.22222222222223)",prediction_error,4.595220892925372e-08
0,9,18,Exp2,"(45, 534.4444444444445)",prediction_error,5.355388423811119e-10
0,9,18,Exp2,"(90, 267.22222222222223)",prediction_error,6.806324364690459e-15
0,9,18,Exp2,"(90, 534.4444444444445)",prediction_error,1.9208881154684614e-05
0,9,18,Exp2,"(135, 267.22222222222223)",prediction_error,1.1869724251086037e-10
0,9,18,Exp2,"(135, 534.4444444444445)",prediction_error,8.356734026304411e-09
0,9,18,Exp2,"(180, 267.22222222222223)",prediction_error,2.539514007258861e-14
0,9,18,Exp2,"(180, 534.4444444444445)",prediction_error,2.65662527341527e-07
0,9,18,Exp2,"(225, 267.22222222222223)",prediction_error,1.4616969528135943e-07
0,9,18,Exp2,"(225, 534.4444444444445)",prediction_error,3.3807072983422294e-08
0,9,18,Exp2,"(270, 267.22222222222223)",prediction_error,4.5554963232364786e-08
0,9,18,Exp2,"(270, 534.4444444444445)",prediction_error,3.5373899146201924e-07
0,9,18,Exp2,"(315, 267.22222222222223)",prediction_error,1.1415037456692568e-10
0,9,18,Exp2,"(315, 534.4444444444445)",prediction_error,6.584403170574758e-08
0,9,18,Exp2,"(0, 267.22222222222223)",prediction_error,1.11671607049402e-16
0,9,18,Exp2,"(0, 534.4444444444445)",prediction_error,3.9602409276790816e-10
0,9,18,Exp2,"(45, 267.22222222222223)",prediction_error,4.595220892925372e-08
0,9,18,Exp2,"(45, 534.4444444444445)",prediction_error,5.355388423811119e-10
0,9,18,Exp2,"(90, 267.22222222222223)",prediction_error,6.806324364690459e-15
0,9,18,Exp2,"(90, 534.4444444444445)",prediction_error,1.9208881154684614e-05
0,9,18,Exp2,"(135, 267.22222222222223)",prediction_error,1.1869724251086037e-10
0,9,18,Exp2,"(135, 534.4444444444445)",prediction_error,8.356734026304411e-09
0,9,18,Exp2,"(180, 267.22222222222223)",prediction_error,2.539514007258861e-14
0,9,18,Exp2,"(180, 534.4444444444445)",prediction_error,2.65662527341527e-07
0,9,18,Exp2,"(225, 267.22222222222223)",prediction_error,1.4616969528135943e-07
0,9,18,Exp2,"(225, 534.4444444444445)",prediction_error,3.3807072983422294e-08
0,9,18,Exp2,"(270, 267.22222222222223)",prediction_error,4.5554963232364786e-08
0,9,18,Exp2,"(270, 534.4444444444445)",prediction_error,3.5373899146201924e-07
0,9,18,Exp2,"(315, 267.22222222222223)",prediction_error,1.1415037456692568e-10
0,9,18,Exp2,"(315, 534.4444444444445)",prediction_error,6.584403170574758e-08
0,9,18,Exp3,"(1, -1)",predictError,5.862180585808048e-56
0,9,18,Exp3,"(1, 1)",predictError,3.1873168234541966e-61
0,9,18,Exp3,"(2, -1)",predictError,2.9020853494958392e-52
0,9,18,Exp3,"(2, 1)",predictError,5.290102454939747e-63
0,9,18,Exp3,"(3, -1)",predictError,2.0907948688424377e-35
0,9,18,Exp3,"(3, 1)",predictError,1.1976600480473955e-36
0,9,19,Exp1,D2U,None,0.3712980344710104
0,9,19,Exp1,L2R,None,0.5514843298025198
0,9,19,Exp1,R2L,None,0.765991824244793
0,9,19,Exp1,U2D,None,0.035697803555194696
0,9,19,Exp2,"(0, 267.22222222222223)",prediction_error,1.4136775028423548e-15
0,9,19,Exp2,"(0, 534.4444444444445)",prediction_error,1.309626347168607e-10
